acc_low	acc_high	query_status	detection_method	publication	interaction_type	source_database	interaction_identifier	confidence	expansion_method	negative_interaction_flag
O00399	P61163	complete	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-55007920|imex:IM-29278-28061	intact-miscore:0.64	"psi-mi:""MI:1060""(spoke expansion)"	false
Q99627	Q9UBF6	complete								
P62987	Q71DI3	complete								
P35997	P38747	complete								
P62090	Q9SUI4	complete								
P05738	P33309	complete								
A0A1L8GNJ6	Q6PHW7	complete								
Q42599	Q9FIJ2	complete								
C4R2R6	C4R7L2	complete								
P12074	Q9BW72	complete								
A0A3V0PQJ3	A0A3Z3F2I6	complete								
B8YB57	B8YB63	complete								
E3UIU3	M2X090	complete								
Q8CM25	Q8DG60	complete								
P9WGY5	P9WJG3	complete								
W5DS33	W5FEZ3	complete								
I0YPL4	I0Z284	complete								
Q8DIF8	Q8DMP8	complete								
Q8DLL4	Q8DMU4	complete								
Q8DKF3	Q8DL29	complete								
A0A2P6TT36	W8SKM2	complete								
A0AAN0XZY8	A0AAN0Y0R4	complete								
O14010	Q9Y821	complete								
A0A063X8U6	F5HRS7	complete								
A0A2K1JC42	A0A2K1JLW2	complete								
Q8DLL4	Q8DLN5	complete								
I0YQ13	I0Z284	complete								
B8YB57	B8YB60	complete								
O94646	P87310	complete								
P01857	S6B291	complete								
A0A9R0JF29	A0A9R0JVI6	complete								
A0A2P6TKF8	W8SUD1	complete								
P20143	P69416	complete								
O15318	P0DPB6	complete								
Q9TLR0	Q9ZQS5	complete								
A0A4V8GZZ3	A0A4V8GZZ6	complete								
A0A2P6TKF8	A0A2P6TT36	complete								
P0DPB6	P20226	complete								
O94707	Q9UTB6	complete								
A0AAN0XZY8	A0AAN0Y0S4	complete								
P09192	Q55329	complete								
Q8LE42	Q9M1A8	complete								
A0A2P6TPU7	A0A2P6TT36	complete								
A0A6P3TG10	K4P217	complete								
F2QS38	F2QT90	complete								
F2R611	F2RBH1	complete								
P0A7Z4	P0AGB6	complete								
O87799	O87802	complete								
Q9FFC0	Q9XFH4	complete								
A0A1S4CE74	A0A1S4CIZ9	complete								
P01730	Q6P5S8	complete								
C4QWA8	C4R273	complete								
P38353	P49626	complete								
O31743	Q06797	complete								
F2RBH1	F2RCK7	complete								
A0QSD7	A0R7F7	complete								
A0AAB0B1V2	A0AAB0B1V7	complete								
Q12824	Q96GM5	complete	"psi-mi:""MI:0096""(pull down)"	imex:IM-26463|pubmed:30108113	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-20623811	intact-miscore:0.89	"psi-mi:""MI:1060""(spoke expansion)"	false
Q12824	Q96GM5	complete	"psi-mi:""MI:0096""(pull down)"	imex:IM-26463|pubmed:30108113	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-20623953	intact-miscore:0.89	"psi-mi:""MI:1060""(spoke expansion)"	false
Q12824	Q96GM5	complete	"psi-mi:""MI:1314""(proximity-dependent biotin identification)"	imex:IM-26463|pubmed:30108113	"psi-mi:""MI:2364""(proximity)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-20624244|imex:IM-26463-1	intact-miscore:0.89	"psi-mi:""MI:1060""(spoke expansion)"	false
Q12824	Q96GM5	complete	"psi-mi:""MI:1314""(proximity-dependent biotin identification)"	imex:IM-26463|pubmed:30108113	"psi-mi:""MI:2364""(proximity)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-20624550|imex:IM-26463-3	intact-miscore:0.89	"psi-mi:""MI:1060""(spoke expansion)"	false
Q12824	Q96GM5	complete	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	pubmed:31759698|imex:IM-27540	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-22236139|imex:IM-27540-42	intact-miscore:0.89	"psi-mi:""MI:1060""(spoke expansion)"	false
Q12824	Q96GM5	complete	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	pubmed:31759698|imex:IM-27540	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-22236180|imex:IM-27540-22	intact-miscore:0.89	"psi-mi:""MI:1060""(spoke expansion)"	false
Q12824	Q96GM5	complete	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	pubmed:31759698|imex:IM-27540	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-22236219|imex:IM-27540-44	intact-miscore:0.89	"psi-mi:""MI:1060""(spoke expansion)"	false
Q12824	Q96GM5	complete	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54619786|imex:IM-29278-3533	intact-miscore:0.89	"psi-mi:""MI:1060""(spoke expansion)"	false
Q12824	Q96GM5	complete	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-55001947|imex:IM-29278-27787	intact-miscore:0.89	"psi-mi:""MI:1060""(spoke expansion)"	false
Q12824	Q96GM5	complete	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54886755|imex:IM-29278-19847	intact-miscore:0.89	"psi-mi:""MI:1060""(spoke expansion)"	false
Q39255	Q9SLH3	complete								
E1C9K9	P10793	complete								
E9NPV2	I0YQ44	complete								
P33767	Q99380	complete								
Q85FS9	Q85G51	complete								
A0A0H2UKZ4	E1C9L3	complete								
P35718	P36121	complete	"psi-mi:""MI:0676""(tandem affinity purification)"	pubmed:16429126	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-795885	intact-miscore:0.67	"psi-mi:""MI:1060""(spoke expansion)"	false
P25342	P32468	complete	"psi-mi:""MI:0676""(tandem affinity purification)"	pubmed:16429126	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-795363	intact-miscore:0.89	"psi-mi:""MI:1060""(spoke expansion)"	false
P25342	P32468	complete	"psi-mi:""MI:0676""(tandem affinity purification)"	pubmed:16429126	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-798700	intact-miscore:0.89	"psi-mi:""MI:1060""(spoke expansion)"	false
O35011	P39075	complete								
P07611	P68623	complete								
P12975	P16033	complete								
Q9VBI1	Q9VGW6	complete								
F5LA71	F5LA72	complete								
A0A125YG13	S8GCU6	complete								
A8HY43	P59763	complete								
F2QRE4	F2QT92	complete								
D9PY02	Q50755	complete								
I0YTK4	I0Z7V3	complete								
E9NPS7	I0YP72	complete								
A0A3Q7H1U4	A0A3Q7I881	complete								
A0A2K9VK93	A0A2K9VKE4	complete								
P01222	P63092	complete								
P47133	Q12025	complete								
O15527	Q71DI3	complete								
P0A707	P0A7S3	complete								
Q8N884	Q96KK5	complete								
P04912	Q12509	complete								
A0A3Q7H1U4	A0A3Q7HSH1	complete								
Q37695	Q6C326	complete								
P0A7W7	P0A8A8	complete								
P41205	Q50296	complete								
A0A2K1IAD0	A0A2K1J0L9	complete								
P12239	Q7DGD4	complete								
Q6SW67	V9LLX6	complete								
Q23FU1	Q240X9	complete								
M2X090	M2X4U9	complete								
Q83D76	Q83E83	complete								
A0A4V8GZZ2	A0A4V8H004	complete								
A0A2K3CXW8	A8IJY7	complete								
A0QS96	A0QS97	complete								
P39682	P40018	complete	"psi-mi:""MI:0676""(tandem affinity purification)"	pubmed:16429126	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-784510	intact-miscore:0.53	"psi-mi:""MI:1060""(spoke expansion)"	false
Q02795	Q92316	complete								
A0A6P3ED73	A0A836CVU8	complete								
Q38859	Q8LE42	complete								
P13165	P23993	complete								
C4R009	C4R1V1	complete								
Q9TM20	Q9TM46	complete								
B6YWB9	B6YWC1	complete								
Q248F8	Q24I09	complete								
P04911	P31376	complete								
A0A1D5SLI4	A0A3B6RHV8	complete								
A0A3B6IU74	W5FPA7	complete								
P9WJG3	Q6MX01	complete								
P23968	P38784	complete								
Q91VD9	Q9DC70	complete								
P0DOY7	Q5SHR1	complete								
Q5SKZ7	Q60019	complete								
P06899	P61218	complete								
A8IL32	Q75VY6	complete								
A8INX1	A8IS47	complete								
A8IFG7	Q05093	complete								
E9NPS7	I0YP76	complete								
Q9TLR0	Q9TM21	complete								
C4QY79	C4R3Z5	complete								
D0C5Z0	D0CD20	complete								
P12352	Q84Y02	complete								
A1B3D7	A1B4F2	complete								
A0A3Q7G7F0	A0A3Q7HSH1	complete								
E3UIU1	M2Y652	complete								
I0YQ46	I0Z2Y0	complete								
P32422	P74564	complete								
A0A1B1W4Z4	Q9XI73	complete								
P21082	P68449	complete								
E1C9K8	P16002	complete								
P28000	P36121	complete								
P32349	Q04307	complete								
P62653	P62659	complete								
P62532	Q47450	complete								
Q980K0	Q980L5	complete								
O15212	P78371	complete								
P13192	Q43485	complete								
P56768	P62090	complete								
Q8DJ02	Q8DKF4	complete								
A0A125YG13	A0A125YMK3	complete								
A0A1S3X147	A0A1S3YU01	complete								
Q15019	Q16181	complete	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54786865|imex:IM-29278-15381	intact-miscore:0.86	"psi-mi:""MI:1060""(spoke expansion)"	false
Q15019	Q16181	complete	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54921063|imex:IM-29278-21347	intact-miscore:0.86	"psi-mi:""MI:1060""(spoke expansion)"	false
Q15019	Q16181	complete	"psi-mi:""MI:0808""(comigration in sds page)"	imex:IM-30167|pubmed:35309913	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-59047446|imex:IM-30167-1	intact-miscore:0.86	"psi-mi:""MI:1060""(spoke expansion)"	false
Q15019	Q16181	complete	"psi-mi:""MI:0808""(comigration in sds page)"	imex:IM-30167|pubmed:35309913	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-59047658|imex:IM-30167-7	intact-miscore:0.86	"psi-mi:""MI:1060""(spoke expansion)"	false
Q15019	Q16181	complete	"psi-mi:""MI:0071""(molecular sieving)"	imex:IM-30167|pubmed:35309913	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-59047598|imex:IM-30167-5	intact-miscore:0.86	"psi-mi:""MI:1060""(spoke expansion)"	false
Q15019	Q16181	complete	"psi-mi:""MI:0029""(cosedimentation through density gradient)"	imex:IM-30167|pubmed:35309913	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-59047478|imex:IM-30167-3	intact-miscore:0.86	"psi-mi:""MI:1060""(spoke expansion)"	false
Q15019	Q16181	complete	"psi-mi:""MI:0029""(cosedimentation through density gradient)"	imex:IM-30167|pubmed:35309913	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-59047665|imex:IM-30167-9	intact-miscore:0.86	"psi-mi:""MI:1060""(spoke expansion)"	false
Q15019	Q16181	complete	"psi-mi:""MI:0071""(molecular sieving)"	imex:IM-30167|pubmed:35309913	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-59047730|imex:IM-30167-11	intact-miscore:0.86	"psi-mi:""MI:1060""(spoke expansion)"	false
Q15019	Q16181	complete	"psi-mi:""MI:0040""(electron microscopy)"	imex:IM-30167|pubmed:35309913	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-59047750|imex:IM-30167-13	intact-miscore:0.86	"psi-mi:""MI:1060""(spoke expansion)"	false
Q15019	Q16181	complete	"psi-mi:""MI:0029""(cosedimentation through density gradient)"	imex:IM-30167|pubmed:35309913	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-61183592|imex:IM-30167-17	intact-miscore:0.86	"psi-mi:""MI:1060""(spoke expansion)"	false
C1K003	D0FXV2	complete								
P13194	P36886	complete								
I7MHB1	Q24DI9	complete								
P36056	Q03799	complete								
A0A2P6TT36	W8SUD1	complete								
G0SC21	G0SCD1	complete								
A0A125YN38	S7UVH4	complete								
Q8L806	W5DS33	complete								
A0A1M6YWR9	A0A1M7BX03	complete								
B8YB56	B8YB57	complete								
A7XX65	A7XXA7	complete								
A0QU29	A0QU34	complete								
A0A2K1K0C7	Q8MFA2	complete								
E9NPX1	I0Z7A7	complete								
P27521	Q9S7N7	complete								
Q27RN3	Q27RN4	complete								
A8IKI9	A8JC51	complete								
P0A800	P0ABS1	complete								
I0YP76	I0YVS7	complete								
Q84AQ1	Q84AQ3	complete								
A0A2K1JLW2	A0A2K1KIF2	complete								
C1K003	D0FXW0	complete								
P56768	Q9SHR7	complete								
A0A1S3X147	A0A1S3YEW3	complete								
A8IJY7	A8IL21	complete								
M9NT03	M9NTL4	complete								
A0QUM5	A0QUM7	complete								
B8YB57	B8YB59	complete								
P41806	Q3E7B6	complete								
P13393	P47076	complete								
Q8RGE2	Q8RGE3	complete								
P18183	Q9KXS1	complete								
F2QS38	F2QVA2	complete								
B8YB54	B8YB63	complete								
D0C9P6	D0CC74	complete								
P13192	P23993	complete								
A0AAN0Y4F0	A0AAN1CUP2	complete								
P40540	Q12025	complete								
F1RPD2	F1SDI2	complete								
Q95695	Q9SGH4	complete								
Q8DHA7	Q8DMP8	complete								
Q2FW39	Q2G2Q4	complete								
C4LXN2	C4M979	complete								
A0A3Q7HSH1	P49215	complete								
Q6C387	Q6CC60	complete								
P0A7U3	P69222	complete								
P28496	P38703	complete	"psi-mi:""MI:0415""(enzymatic study)"	pubmed:15692566|imex:IM-19081	"psi-mi:""MI:0414""(enzymatic reaction)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2355064|imex:IM-19081-1	intact-miscore:0.83	"psi-mi:""MI:1060""(spoke expansion)"	false
P28496	P38703	complete	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	pubmed:15692566|imex:IM-19081	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2355081|imex:IM-19081-2	intact-miscore:0.83	"psi-mi:""MI:1060""(spoke expansion)"	false
P28496	P38703	complete	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	pubmed:15692566|imex:IM-19081	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2355099|imex:IM-19081-3	intact-miscore:0.83	-	false
P28496	P38703	complete	"psi-mi:""MI:0028""(cosedimentation in solution)"	pubmed:15692566|imex:IM-19081	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-2355147|imex:IM-19081-7	intact-miscore:0.83	"psi-mi:""MI:1060""(spoke expansion)"	false
Q9HVW3	Q9HVW5	complete								
P0A7T3	P39286	complete	"psi-mi:""MI:0676""(tandem affinity purification)"	pubmed:15690043|mint:MINT-5217509|imex:IM-21967|doi:10.1038/nature03239	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-15549730|imex:IM-21967-506|dip:DIP-192887E	intact-miscore:0.46	"psi-mi:""MI:1060""(spoke expansion)"	false
P0A7T3	P39286	complete	"psi-mi:""MI:0096""(pull down)"	pubmed:15690043|mint:MINT-5217509|imex:IM-21967|doi:10.1038/nature03239	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-886442|imex:IM-21967-925	intact-miscore:0.46	"psi-mi:""MI:1060""(spoke expansion)"	false
W5EP45	W5I1R7	complete								
A0A1J7CBX1	A0A1M5L8S8	complete								
B8CEQ3	B8LEV1	complete								
D0MDD7	D0MDD8	complete								
A0T0T5	B8C770	complete								
O19925	O19927	complete								
P62090	Q9S7N7	complete								
P13192	P36213	complete								
A0QU31	A0QU35	complete								
A0QSG2	A0QSL7	complete								
Q97ZJ9	Q980R2	complete								
Q2FKZ2	Q2FRL9	complete								
P0A444	Q8DG60	complete								
A0A2K3DGW6	A8HUP3	complete								
A0AA82WNZ8	A0AA82WP01	complete								
O13877	O74825	complete								
P43034	P63172	complete	"psi-mi:""MI:2222""(inference by socio-affinity scoring)"	pubmed:unassigned1312	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-11908133	"author score:""Socio-affinity score: 7.03961""|intact-miscore:0.51"	-	false
P43034	P63172	complete	"psi-mi:""MI:0676""(tandem affinity purification)"	pubmed:27173435|imex:IM-25054	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-12449878|imex:IM-25054-49	intact-miscore:0.51	"psi-mi:""MI:1060""(spoke expansion)"	false
B6TXS5	O65101	complete								
P12975	P74564	complete								
O31743	P42920	complete								
A2P1G9	U5LP42	complete								
A0A2K1JC42	A0A2K1KN29	complete								
O19925	Q9TLR0	complete								
P14406	P24311	complete								
P12004	P49005	complete	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	pubmed:26496610|imex:IM-24272	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-11109663|imex:IM-24272-901	intact-miscore:0.68	"psi-mi:""MI:1060""(spoke expansion)"	false
O13877	Q09177	complete								
P38632	Q03718	complete	"psi-mi:""MI:0096""(pull down)"	pubmed:14690591	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-853322	intact-miscore:0.35	"psi-mi:""MI:1060""(spoke expansion)"	false
A0A125YZN9	S7VSS5	complete								
O81098	Q6NLH0	complete								
O95456	Q5JS54	complete								
A0QU29	A0QU33	complete								
G2LDR3	G2LHG2	complete								
P04969	P21467	complete								
P73297	P74565	complete								
A0A8F0WFC9	A0T0S9	complete								
O74635	Q92399	complete								
I0YP72	I0YQ13	complete								
O19882	Q9TM21	complete								
P26290	P72798	complete								
Q9CR21	Q9CR61	complete								
O19895	O19925	complete								
P06899	Q96GM5	complete								
P62877	Q13216	complete								
A0A9R0JBX6	P06505	complete								
Q24CL2	W7WX86	complete								
P43307	Q9UNL2	complete								
D7NIZ2	D7P897	complete								
A0A2K9VK97	A0A2K9VK99	complete								
Q8N884	Q93079	complete								
B7GIG3	B7GL84	complete								
Q49QC8	Q49QE8	complete								
A0QS96	A0QSD7	complete								
P0DOX7	S6B2B6	complete								
P21464	P21469	complete								
C4M5A0	O15612	complete								
P04908	P36954	complete								
P0A0H0	Q2G2Q1	complete								
Q6NLH0	Q8LE42	complete								
P16678	P16685	complete	"psi-mi:""MI:0071""(molecular sieving)"	pubmed:21705661|imex:IM-24157	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-10818149|imex:IM-24157-1	intact-miscore:0.79	"psi-mi:""MI:1060""(spoke expansion)"	false
P16678	P16685	complete	"psi-mi:""MI:0071""(molecular sieving)"	pubmed:21705661|imex:IM-24157	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-10818164|imex:IM-24157-2	intact-miscore:0.79	"psi-mi:""MI:1060""(spoke expansion)"	false
P16678	P16685	complete	"psi-mi:""MI:0096""(pull down)"	pubmed:21705661|imex:IM-24157	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-10818171|imex:IM-24157-3	intact-miscore:0.79	"psi-mi:""MI:1060""(spoke expansion)"	false
Q2T9T3	Q32P73	complete								
P0A707	P0A7T7	complete	"psi-mi:""MI:0096""(pull down)"	pubmed:15690043|mint:MINT-5217509|imex:IM-21967|doi:10.1038/nature03239	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-894739|imex:IM-21967-1348	intact-miscore:0.46	"psi-mi:""MI:1060""(spoke expansion)"	false
P0A707	P0A7T7	complete	"psi-mi:""MI:0676""(tandem affinity purification)"	pubmed:15690043|mint:MINT-5217509|imex:IM-21967|doi:10.1038/nature03239	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-15539322|imex:IM-21967-182|dip:DIP-49405E	intact-miscore:0.46	"psi-mi:""MI:1060""(spoke expansion)"	false
Q8LCQ4	Q9SUI6	complete								
A8IJY7	A8J353	complete								
P0A800	P0AG30	complete								
P57766	Q980T8	complete								
P40422	Q04307	complete								
A0A4V8GZZ2	A0A4V8H001	complete								
P37382	Q09191	complete								
A0ACD6B989	P58575	complete								
P06899	Q9Y265	complete								
S6B2B6	S6C4R2	complete								
P32591	P53330	complete	"psi-mi:""MI:0676""(tandem affinity purification)"	pubmed:14660704	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-822156	intact-miscore:0.76	"psi-mi:""MI:1060""(spoke expansion)"	false
P32591	P53330	complete	"psi-mi:""MI:0004""(affinity chromatography technology)"	pubmed:15506919	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1189734	intact-miscore:0.76	-	false
A0AAN0NP81	A9WEV7	complete								
Q86X83	Q8N668	complete	"psi-mi:""MI:0096""(pull down)"	pubmed:15799966	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1550230	intact-miscore:0.87	-	false
Q86X83	Q8N668	complete	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-21711823|imex:IM-25778-5401	intact-miscore:0.87	"psi-mi:""MI:1060""(spoke expansion)"	false
Q86X83	Q8N668	complete	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54643496|imex:IM-29278-4537	intact-miscore:0.87	"psi-mi:""MI:1060""(spoke expansion)"	false
Q86X83	Q8N668	complete	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54905972|imex:IM-29278-20599	intact-miscore:0.87	"psi-mi:""MI:1060""(spoke expansion)"	false
O74635	Q09191	complete								
P11521	P39471	complete								
A0A2P6TMX4	A0A2P6U4S6	complete								
A0A0D9R493	A0A0D9RB67	complete								
B7I2K7	B7IA22	complete								
A8IFG7	Q75VY6	complete								
A0A069PXX1	E2RXU4	complete								
Q39212	Q9FJ98	complete								
P32368	P53224	complete								
P75131	P75560	complete								
P40336	Q9QZ88	complete								
P92558	Q9C6B3	complete	"psi-mi:""MI:0401""(biochemical)"	pubmed:12837548	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-531884	intact-miscore:0.40	"psi-mi:""MI:1060""(spoke expansion)"	false
A0A075W2R1	M2VTV2	complete								
P19569	P74564	complete								
A0A0F6NGI2	E1C9L3	complete								
Q71CG2	Q71CG3	complete								
I0YQ44	I0YVS7	complete								
P16002	Q32904	complete								
P9WPV1	P9WPV3	complete								
A0A063X745	A0A063XCG5	complete								
D7P6B9	D7P897	complete								
E9NPX1	I0YP72	complete								
B8YB57	B8YB62	complete								
Q9FJE8	Q9XFH4	complete								
A0A4V8H008	A0A4V8H010	complete								
P68134	Q9CPW4	complete								
A6VF33	A6VF35	complete								
P47822	Q12321	complete								
Q2FW23	Q2G111	complete								
B7I2K7	B7IA25	complete								
A0A063X781	F5HRS7	complete								
P87310	Q10317	complete								
Q6XQC2	Q6XQC3	complete								
C4R2R6	C4R3Z5	complete								
P25043	P36040	complete								
A0A0H2UKZ4	P10793	complete								
E9NPV2	E9NPW6	complete								
P13393	P35718	complete								
P06899	P19387	complete								
P14224	Q39615	complete								
C4QXY9	C4QY79	complete								
A0A2K3E6S5	P32974	complete								
A0A0F6NGI2	Q41038	complete								
P00289	P08980	complete								
E9NPV2	I0Z7V3	complete								
Q8IY47	Q99627	complete								
A0A125YZP0	S8GED8	complete								
A0A072ZPV8	E2RXU4	complete								
F2QPE6	F2QX94	complete								
P02557	P53378	complete								
A0A1S3X147	A0A1S4BFK7	complete								
A0A2K1K0C7	A9SL09	complete								
P63096	Q99731	complete								
Q22MV2	Q24DI9	complete								
A8IJ60	A8IJY7	complete								
A0ACD6B948	Q9L422	complete								
E3UIU9	M2XW22	complete								
Q1HFW0	Q1HFX4	complete								
A0A7U3Y815	B7IA35	complete								
P06899	P52434	complete								
B6STT2	P12329	complete								
P72798	P74810	complete								
P28007	P40486	complete								
P00825	P00833	complete								
P30153	P56211	complete	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54925226|imex:IM-29278-21615	intact-miscore:0.75	"psi-mi:""MI:1060""(spoke expansion)"	false
P13352	Q75VY4	complete								
Q83ED6	Q83EQ3	complete								
Q92905	Q9UBF6	complete								
P0A431	Q8DHJ2	complete								
Q0IHJ3	Q4V7I1	complete								
E3UIU9	M2Y652	complete								
Q32P73	Q32P79	complete								
Q85FS8	Q85G47	complete								
A0T0M9	B5YM25	complete								
A0A4V8GZZ7	A0A4V8H006	complete								
A0A5H1ZR73	D7NIZ2	complete								
T1RJW8	T1RJZ1	complete								
Q9SUI6	Q9SYW8	complete								
A3DF17	A3DJK1	complete								
P09669	P12074	complete	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54622511|imex:IM-29278-3635	intact-miscore:0.35	"psi-mi:""MI:1060""(spoke expansion)"	false
Q9SUI4	Q9SY97	complete								
P36040	P38293	complete								
F1S3W0	F1SDI2	complete								
P40992	Q01080	complete								
Q2FW30	Q2FW31	complete								
Q9NQP4	Q9UHV9	complete	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-21726281|imex:IM-25778-269	intact-miscore:0.64	"psi-mi:""MI:1060""(spoke expansion)"	false
