source	variable	structural_mean	experimental_mean	smd
Negatome	train_identity_min	94.2664383561644	94.70205479452055	-0.026873927740972848
Negatome	train_identity_max	99.82602739726028	99.81849315068493	0.003561377554962478
Negatome	log_pair_tokens	6.457168042963171	6.494674156703943	-0.1449674920058073
Negatome	abs_log_len_ratio	0.7189058279351531	0.7035741443514321	0.03431942857513615
Negatome	no_hit_any	0.00684931506849315	0.00684931506849315	0.0
ProtNeg	train_identity_min	96.68571428571428	95.30357142857142	0.10930377005987241
ProtNeg	train_identity_max	97.88571428571429	98.26071428571429	-0.03660767885390278
ProtNeg	log_pair_tokens	6.520620984391798	6.512349452556544	0.03000139963334977
ProtNeg	abs_log_len_ratio	0.8253337851119577	0.8410238989598351	-0.028255191261757996
ProtNeg	no_hit_any	0.0	0.0	0.0
