source	match_id	experimental_id	structural_id	experimental_score	structural_score	score_difference	structural_gt_experimental	match_distance
Negatome	Negatome:0102	NEG:00368	AC:002296	0.997995	0.00013	-0.997865	0	0.21565971623982091
Negatome	Negatome:0103	NEG:01264	AC:001169	0.003373	0.999827	0.9964540000000001	1	0.22028971135287015
Negatome	Negatome:0104	NEG:00946	AC:000750	0.999785	0.999855	7.00000000000145e-05	1	0.2265764838568031
Negatome	Negatome:0105	NEG:00877	AC:002774	0.00507	0.999886	0.994816	1	0.23508576751304533
Negatome	Negatome:0106	NEG:01385	AC:000542	0.000127	0.999944	0.9998170000000001	1	0.24165725004906946
Negatome	Negatome:0107	NEG:00570	AC:000590	0.980238	0.000813	-0.9794250000000001	0	0.24532569627210896
Negatome	Negatome:0108	NEG:01379	AC:001651	0.002524	0.058666	0.056142000000000004	1	0.2475530745531295
Negatome	Negatome:0109	NEG:01058	AC:000661	9.8e-05	0.999932	0.999834	1	0.24815252439337593
Negatome	Negatome:0110	NEG:00757	AC:002096	0.000331	0.999907	0.999576	1	0.28987563456379356
Negatome	Negatome:0111	NEG:00751	AC:002492	0.048935	0.998	0.949065	1	0.2955050455955252
Negatome	Negatome:0112	NEG:00748	AC:002652	6.2e-05	0.998098	0.998036	1	0.29922570907232887
Negatome	Negatome:0113	NEG:01495	AC:000786	0.003822	0.999897	0.996075	1	0.3032248259268664
Negatome	Negatome:0114	NEG:00763	AC:002707	0.000102	0.999721	0.9996189999999999	1	0.31172621499235553
Negatome	Negatome:0115	NEG:00016	AC:002583	0.000146	0.999214	0.9990680000000001	1	0.31552963596847017
Negatome	Negatome:0116	NEG:01661	AC:000052	7.1e-05	0.9988	0.998729	1	0.3247903125284416
Negatome	Negatome:0117	NEG:01751	AC:000456	0.003579	0.999714	0.996135	1	0.3303076184242467
Negatome	Negatome:0118	NEG:01059	AC:001363	0.005351	0.998747	0.9933960000000001	1	0.3467683761758571
Negatome	Negatome:0119	NEG:00698	AC:002251	0.000101	0.991738	0.991637	1	0.359026358723326
Negatome	Negatome:0120	NEG:00744	AC:002646	0.022213	0.998697	0.9764839999999999	1	0.3754811673796322
Negatome	Negatome:0121	NEG:01771	AC:001866	6.4e-05	0.999642	0.9995780000000001	1	0.3779765009570565
Negatome	Negatome:0122	NEG:01293	AC:000414	0.000129	0.999901	0.999772	1	0.41019057358520344
Negatome	Negatome:0123	NEG:01085	AC:002241	0.999672	0.742027	-0.257645	0	0.4533459875012469
Negatome	Negatome:0124	NEG:00601	AC:001714	0.99932	0.999446	0.00012599999999995948	1	0.46797201651672454
Negatome	Negatome:0125	NEG:01754	AC:000591	0.000391	0.021026	0.020635	1	0.47224172013536764
Negatome	Negatome:0126	NEG:01639	AC:001097	0.000118	0.000274	0.000156	1	0.5039641572012816
Negatome	Negatome:0127	NEG:01714	AC:002981	0.000675	0.000354	-0.00032100000000000005	0	0.565038245650732
Negatome	Negatome:0128	NEG:00365	AC:000953	0.26375	0.765984	0.5022340000000001	1	0.5733167649000237
Negatome	Negatome:0129	NEG:00510	AC:000252	0.99989	0.80679	-0.19309999999999994	0	0.595357291704307
Negatome	Negatome:0130	NEG:00948	AC:002552	0.0023	5.9e-05	-0.002241	0	0.6339069185850624
Negatome	Negatome:0131	NEG:00664	AC:001081	0.571381	0.990834	0.41945299999999996	1	0.6652320382858943
Negatome	Negatome:0132	NEG:00753	AC:002708	9.5e-05	0.999516	0.999421	1	0.7059920634088677
Negatome	Negatome:0133	NEG:00881	AC:001135	0.00521	0.999664	0.994454	1	0.7575915689485608
Negatome	Negatome:0134	NEG:00252	AC:001774	0.000104	0.99991	0.999806	1	0.7740855859187235
Negatome	Negatome:0135	NEG:01710	AC:002103	8.8e-05	0.998637	0.998549	1	0.7784555321350655
Negatome	Negatome:0136	NEG:01377	AC:000203	0.000123	0.996323	0.9962	1	0.814106323729482
Negatome	Negatome:0137	NEG:01245	AC:000340	0.963985	0.99982	0.03583500000000006	1	0.8444218194372276
Negatome	Negatome:0138	NEG:00705	AC:002407	5.7e-05	0.999379	0.999322	1	0.9103451325629683
Negatome	Negatome:0139	NEG:00699	AC:001389	0.000172	0.03769	0.037518	1	0.9362672718347941
Negatome	Negatome:0140	NEG:00808	AC:000243	0.921424	0.999818	0.07839399999999996	1	0.9421309736923443
Negatome	Negatome:0141	NEG:01270	AC:000292	6.3e-05	0.229207	0.229144	1	0.9442425134734929
Negatome	Negatome:0142	NEG:00116	AC:001708	7.2e-05	0.998772	0.9987	1	0.9540595187436394
Negatome	Negatome:0143	NEG:01637	AC:002421	6e-05	6.6e-05	6.0000000000000035e-06	1	0.9839676751376112
Negatome	Negatome:0144	NEG:01748	AC:000657	0.00759	0.999892	0.992302	1	1.0549072098873293
Negatome	Negatome:0145	NEG:01147	AC:000209	0.311468	0.99973	0.6882619999999999	1	1.0581373407070602
Negatome	Negatome:0146	NEG:01382	AC:000013	6.5e-05	0.999854	0.999789	1	1.1089934753393356
ProtNeg	ProtNeg:0001	PAIR2:GENE:6118|GENE:79661	AC:001790	0.999753	0.999722	-3.100000000000325e-05	0	0.02903839672585384
ProtNeg	ProtNeg:0002	PAIR2:GENE:100134934|GENE:3836	AC:001630	0.00018	0.999923	0.999743	1	0.035298692733557666
ProtNeg	ProtNeg:0003	PAIR2:GENE:1230|GENE:6348	AC:000330	0.886773	0.998566	0.11179299999999992	1	0.04605037306124565
ProtNeg	ProtNeg:0004	PAIR2:GENE:801|GENE:8795	AC:001363	0.999853	0.998747	-0.0011059999999999404	0	0.08887828658985782
ProtNeg	ProtNeg:0005	PAIR2:GENE:3836|GENE:79991	AC:002119	0.00768	0.999917	0.9922369999999999	1	0.09001742933863009
ProtNeg	ProtNeg:0006	PAIR2:GENE:6119|GENE:79661	AC:000049	0.999767	0.999637	-0.00012999999999996348	0	0.09383686510506418
ProtNeg	ProtNeg:0007	PAIR2:GENE:3487|GENE:652	AC:001008	0.000198	0.989566	0.9893679999999999	1	0.09696390499261157
ProtNeg	ProtNeg:0008	PAIR2:GENE:3486|GENE:801	AC:002774	0.040016	0.999886	0.95987	1	0.10304722969952128
ProtNeg	ProtNeg:0009	PAIR2:GENE:2597|GENE:3552	AC:000128	0.000186	0.999692	0.999506	1	0.1067312628457175
ProtNeg	ProtNeg:0010	PAIR2:GENE:50489|GENE:920	AC:002158	0.011475	0.998689	0.987214	1	0.11376949220116368
ProtNeg	ProtNeg:0011	PAIR2:GENE:29128|GENE:8361	AC:000307	0.999921	0.999832	-8.899999999989472e-05	0	0.1209983313703676
ProtNeg	ProtNeg:0012	PAIR2:GENE:2597|GENE:4155	AC:000347	0.000188	6.6e-05	-0.00012199999999999998	0	0.1217102701606676
ProtNeg	ProtNeg:0013	PAIR2:GENE:1670|GENE:3106	AC:000877	0.016229	0.817732	0.801503	1	0.12201759659279471
ProtNeg	ProtNeg:0014	PAIR2:GENE:3726|GENE:4942	AC:000344	6.6e-05	0.000721	0.000655	1	0.12955889540487833
ProtNeg	ProtNeg:0015	PAIR2:GENE:335|GENE:5055	AC:001017	0.003982	0.001201	-0.0027810000000000005	0	0.1335010093917009
ProtNeg	ProtNeg:0016	PAIR2:GENE:55070|GENE:7323	AC:002448	0.015469	0.999853	0.984384	1	0.13353488649517037
ProtNeg	ProtNeg:0017	PAIR2:GENE:3726|GENE:90416	AC:002686	0.000111	0.997855	0.9977440000000001	1	0.13965255689315836
ProtNeg	ProtNeg:0018	PAIR2:GENE:10133|GENE:64343	AC:001674	0.713073	0.999327	0.286254	1	0.14258898425603486
ProtNeg	ProtNeg:0019	PAIR2:GENE:27071|GENE:5062	AC:000461	0.000383	0.997887	0.997504	1	0.14386269796951062
ProtNeg	ProtNeg:0020	PAIR2:GENE:389|GENE:56924	AC:002064	0.111728	0.981109	0.869381	1	0.14467136874683886
ProtNeg	ProtNeg:0021	PAIR2:GENE:30835|GENE:920	AC:000051	0.61986	0.99954	0.37968	1	0.16333801874035106
ProtNeg	ProtNeg:0022	PAIR2:GENE:682|GENE:7031	AC:000178	7.7e-05	0.99982	0.999743	1	0.26653250303282905
ProtNeg	ProtNeg:0023	PAIR2:GENE:4155|GENE:5830	AC:002553	0.000749	0.999828	0.999079	1	0.4196182161025601
ProtNeg	ProtNeg:0024	PAIR2:GENE:3964|GENE:6520	AC:001680	0.993678	0.999759	0.006081000000000003	1	0.47317483125248616
ProtNeg	ProtNeg:0025	PAIR2:GENE:29128|GENE:8337	AC:001726	0.997847	0.999577	0.0017300000000000093	1	0.5347096791906933
ProtNeg	ProtNeg:0026	PAIR2:GENE:143384|GENE:79047	AC:000661	7.2e-05	0.999932	0.9998600000000001	1	0.6534992117829985
ProtNeg	ProtNeg:0027	PAIR2:GENE:2167|GENE:4000	AC:000891	0.003636	0.999337	0.9957010000000001	1	0.7638676404707029
ProtNeg	ProtNeg:0028	PAIR2:GENE:43847|GENE:643394	AC:002234	0.029219	0.977999	0.94878	1	1.0385677240641242
